,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
84,3.56,0.0,17.75,0.0,100.0,19.66,76500,Weekday,Monday,Light_Load
85,3.53,0.0,17.42,0.0,100.0,19.86,77400,Weekday,Monday,Light_Load
86,4.25,0.0,25.2,0.0,100.0,16.63,78300,Weekday,Monday,Light_Load
87,3.53,0.0,17.5,0.0,100.0,19.77,79200,Weekday,Monday,Light_Load
88,3.56,1.44,10.08,0.0,92.7,33.3,80100,Weekday,Monday,Light_Load
89,3.67,4.21,0.0,0.0,65.71,100.0,81000,Weekday,Monday,Light_Load
90,3.24,3.35,0.0,0.0,69.52,100.0,81900,Weekday,Monday,Light_Load
91,3.53,3.74,0.0,0.0,68.64,100.0,82800,Weekday,Monday,Light_Load
92,3.53,3.42,0.0,0.0,71.82,100.0,83700,Weekday,Monday,Light_Load
93,3.24,2.95,0.0,0.0,73.94,100.0,84600,Weekday,Monday,Light_Load
94,3.67,3.96,0.0,0.0,67.97,100.0,85500,Weekday,Monday,Light_Load
95,3.42,3.46,0.0,0.0,70.3,100.0,0,Weekday,Monday,Light_Load
96,3.2,3.1,0.0,0.0,71.82,100.0,900,Weekday,Tuesday,Light_Load
97,3.85,4.61,0.0,0.0,64.1,100.0,1800,Weekday,Tuesday,Light_Load
98,3.28,3.67,0.0,0.0,66.64,100.0,2700,Weekday,Tuesday,Light_Load
99,3.35,3.6,0.0,0.0,68.12,100.0,3600,Weekday,Tuesday,Light_Load
100,3.89,4.72,0.0,0.0,63.6,100.0,4500,Weekday,Tuesday,Light_Load
101,3.28,3.53,0.0,0.0,68.07,100.0,5400,Weekday,Tuesday,Light_Load
102,3.46,3.96,0.0,0.0,65.8,100.0,6300,Weekday,Tuesday,Light_Load
103,3.78,4.82,0.0,0.0,61.71,100.0,7200,Weekday,Tuesday,Light_Load
104,3.31,3.53,0.0,0.0,68.4,100.0,8100,Weekday,Tuesday,Light_Load
105,3.6,4.36,0.0,0.0,63.67,100.0,9000,Weekday,Tuesday,Light_Load
106,3.64,4.39,0.0,0.0,63.83,100.0,9900,Weekday,Tuesday,Light_Load
107,3.28,3.71,0.0,0.0,66.24,100.0,10800,Weekday,Tuesday,Light_Load
108,3.71,4.57,0.0,0.0,63.03,100.0,11700,Weekday,Tuesday,Light_Load
109,3.56,4.03,0.0,0.0,66.21,100.0,12600,Weekday,Tuesday,Light_Load
110,3.24,3.49,0.0,0.0,68.04,100.0,13500,Weekday,Tuesday,Light_Load
111,3.89,4.64,0.0,0.0,64.25,100.0,14400,Weekday,Tuesday,Light_Load
112,3.28,3.42,0.0,0.0,69.22,100.0,15300,Weekday,Tuesday,Light_Load
113,3.28,3.49,0.0,0.0,68.48,100.0,16200,Weekday,Tuesday,Light_Load
114,3.96,4.68,0.0,0.0,64.59,100.0,17100,Weekday,Tuesday,Light_Load
115,3.24,3.42,0.0,0.0,68.77,100.0,18000,Weekday,Tuesday,Light_Load
116,3.46,3.78,0.0,0.0,67.52,100.0,18900,Weekday,Tuesday,Light_Load
117,3.67,4.07,0.0,0.0,66.97,100.0,19800,Weekday,Tuesday,Light_Load
118,3.24,3.42,0.0,0.0,68.77,100.0,20700,Weekday,Tuesday,Light_Load
119,3.67,3.96,0.0,0.0,67.97,100.0,21600,Weekday,Tuesday,Light_Load
120,3.53,3.78,0.0,0.0,68.25,100.0,22500,Weekday,Tuesday,Light_Load
121,3.2,3.24,0.0,0.0,70.27,100.0,23400,Weekday,Tuesday,Light_Load
122,3.78,4.07,0.0,0.0,68.05,100.0,24300,Weekday,Tuesday,Light_Load
123,3.35,3.35,0.0,0.0,70.71,100.0,25200,Weekday,Tuesday,Light_Load
124,3.53,3.49,0.0,0.0,71.11,100.0,26100,Weekday,Tuesday,Light_Load
125,6.3,4.57,0.0,0.0,80.95,100.0,27000,Weekday,Tuesday,Light_Load
126,6.05,4.79,0.0,0.0,78.4,100.0,27900,Weekday,Tuesday,Light_Load
127,6.73,4.54,0.0,0.0,82.9,100.0,28800,Weekday,Tuesday,Light_Load
128,29.02,18.83,0.07,0.0,83.89,100.0,29700,Weekday,Tuesday,Light_Load
129,46.19,28.66,0.0,0.0,84.97,100.0,30600,Weekday,Tuesday,Light_Load
130,52.06,35.32,0.0,0.0,82.75,100.0,31500,Weekday,Tuesday,Light_Load
131,56.2,12.53,0.11,0.0,97.6,100.0,32400,Weekday,Tuesday,Light_Load
132,56.84,8.32,0.0,0.0,98.95,100.0,33300,Weekday,Tuesday,Medium_Load
133,51.26,4.54,0.94,0.0,99.61,99.98,34200,Weekday,Tuesday,Medium_Load
134,48.13,2.34,1.15,0.0,99.88,99.97,35100,Weekday,Tuesday,Medium_Load
135,52.81,7.06,0.54,0.0,99.12,99.99,36000,Weekday,Tuesday,Medium_Load
136,54.79,7.52,0.14,0.0,99.07,100.0,36900,Weekday,Tuesday,Maximum_Load
137,53.21,8.35,0.11,0.0,98.79,100.0,37800,Weekday,Tuesday,Maximum_Load
138,80.21,32.4,0.0,0.0,92.72,100.0,38700,Weekday,Tuesday,Maximum_Load
139,77.58,25.49,0.0,0.0,95.0,100.0,39600,Weekday,Tuesday,Maximum_Load
140,128.52,70.85,0.0,0.0,87.57,100.0,40500,Weekday,Tuesday,Maximum_Load
141,144.47,78.48,0.0,0.0,87.87,100.0,41400,Weekday,Tuesday,Maximum_Load
142,90.86,54.29,0.0,0.0,85.84,100.0,42300,Weekday,Tuesday,Maximum_Load
143,123.3,66.06,0.0,0.0,88.15,100.0,43200,Weekday,Tuesday,Maximum_Load
144,19.22,5.54,18.9,0.0,96.09,71.3,44100,Weekday,Tuesday,Medium_Load
145,8.46,0.0,25.92,0.0,100.0,31.03,45000,Weekday,Tuesday,Medium_Load
146,8.24,0.0,25.34,0.0,100.0,30.92,45900,Weekday,Tuesday,Medium_Load
147,8.03,0.0,25.49,0.0,100.0,30.05,46800,Weekday,Tuesday,Medium_Load
148,79.67,27.29,6.52,0.0,94.6,99.67,47700,Weekday,Tuesday,Medium_Load
149,97.85,46.8,0.0,0.0,90.21,100.0,48600,Weekday,Tuesday,Medium_Load
150,124.45,49.79,0.0,0.0,92.85,100.0,49500,Weekday,Tuesday,Medium_Load
151,108.61,43.34,0.0,0.0,92.88,100.0,50400,Weekday,Tuesday,Medium_Load
152,123.12,55.26,0.0,0.0,91.23,100.0,51300,Weekday,Tuesday,Medium_Load
153,129.1,53.5,0.0,0.0,92.38,100.0,52200,Weekday,Tuesday,Medium_Load
154,82.08,27.58,0.0,0.0,94.79,100.0,53100,Weekday,Tuesday,Medium_Load
155,143.89,60.91,0.0,0.0,92.09,100.0,54000,Weekday,Tuesday,Medium_Load
156,86.9,34.27,0.0,0.0,93.03,100.0,54900,Weekday,Tuesday,Medium_Load
157,141.44,62.57,0.0,0.0,91.45,100.0,55800,Weekday,Tuesday,Medium_Load
158,116.53,52.88,0.0,0.0,91.06,100.0,56700,Weekday,Tuesday,Medium_Load
159,129.31,61.16,0.0,0.0,90.4,100.0,57600,Weekday,Tuesday,Medium_Load
160,136.44,56.77,0.0,0.0,92.33,100.0,58500,Weekday,Tuesday,Medium_Load
161,85.72,34.85,0.0,0.0,92.64,100.0,59400,Weekday,Tuesday,Medium_Load
162,147.46,65.27,0.0,0.0,91.44,100.0,60300,Weekday,Tuesday,Medium_Load
163,86.94,30.78,0.0,0.0,94.27,100.0,61200,Weekday,Tuesday,Medium_Load
164,67.25,25.81,0.0,0.0,93.36,100.0,62100,Weekday,Tuesday,Maximum_Load
165,115.78,50.04,0.0,0.0,91.79,100.0,63000,Weekday,Tuesday,Maximum_Load
166,113.11,34.63,0.0,0.0,95.62,100.0,63900,Weekday,Tuesday,Maximum_Load
167,76.75,11.74,1.04,0.0,98.85,99.99,64800,Weekday,Tuesday,Maximum_Load
168,41.9,15.23,0.14,0.0,93.98,100.0,65700,Weekday,Tuesday,Maximum_Load
169,37.4,19.94,0.0,0.0,88.24,100.0,66600,Weekday,Tuesday,Maximum_Load
170,40.25,8.82,0.5,0.0,97.68,99.99,67500,Weekday,Tuesday,Maximum_Load
171,34.92,1.98,1.58,0.0,99.84,99.9,68400,Weekday,Tuesday,Maximum_Load
172,41.36,6.44,0.43,0.0,98.81,99.99,69300,Weekday,Tuesday,Maximum_Load
173,35.96,2.52,1.37,0.0,99.76,99.93,70200,Weekday,Tuesday,Maximum_Load
174,39.42,5.29,0.47,0.0,99.11,99.99,71100,Weekday,Tuesday,Maximum_Load
175,38.16,4.68,0.5,0.0,99.26,99.99,72000,Weekday,Tuesday,Maximum_Load
176,33.23,1.51,3.96,0.0,99.9,99.3,72900,Weekday,Tuesday,Medium_Load
177,25.88,0.0,12.13,0.0,100.0,90.55,73800,Weekday,Tuesday,Medium_Load
178,10.84,0.0,23.22,0.0,100.0,42.3,74700,Weekday,Tuesday,Medium_Load
179,9.29,0.0,23.51,0.0,100.0,36.75,75600,Weekday,Tuesday,Medium_Load
180,6.98,0.0,25.16,0.0,100.0,26.73,76500,Weekday,Tuesday,Medium_Load
181,5.11,0.0,26.5,0.0,100.0,18.93,77400,Weekday,Tuesday,Medium_Load
182,5.08,0.0,26.42,0.0,100.0,18.88,78300,Weekday,Tuesday,Medium_Load
183,5.04,0.0,26.46,0.0,100.0,18.71,79200,Weekday,Tuesday,Medium_Load
184,4.93,1.84,15.44,0.0,93.69,30.42,80100,Weekday,Tuesday,Maximum_Load
185,4.64,5.22,0.0,0.0,66.44,100.0,81000,Weekday,Tuesday,Maximum_Load
186,4.68,5.18,0.0,0.0,67.04,100.0,81900,Weekday,Tuesday,Maximum_Load
187,4.68,5.11,0.0,0.0,67.54,100.0,82800,Weekday,Tuesday,Maximum_Load
188,4.57,4.54,0.0,0.0,70.94,100.0,83700,Weekday,Tuesday,Light_Load
189,4.57,4.25,0.0,0.0,73.23,100.0,84600,Weekday,Tuesday,Light_Load
190,4.54,4.25,0.0,0.0,73.0,100.0,85500,Weekday,Tuesday,Light_Load
191,4.61,4.21,0.0,0.0,73.84,100.0,0,Weekday,Tuesday,Light_Load
192,4.61,4.61,0.0,0.0,70.71,100.0,900,Weekday,Wednesday,Light_Load
193,4.61,4.54,0.0,0.0,71.25,100.0,1800,Weekday,Wednesday,Light_Load
194,4.57,4.5,0.0,0.0,71.25,100.0,2700,Weekday,Wednesday,Light_Load
195,4.57,4.61,0.0,0.0,70.4,100.0,3600,Weekday,Wednesday,Light_Load
196,4.64,4.46,0.0,0.0,72.1,100.0,4500,Weekday,Wednesday,Light_Load
197,4.64,4.57,0.0,0.0,71.25,100.0,5400,Weekday,Wednesday,Light_Load
198,4.61,4.79,0.0,0.0,69.34,100.0,6300,Weekday,Wednesday,Light_Load
199,4.57,4.5,0.0,0.0,71.25,100.0,7200,Weekday,Wednesday,Light_Load
200,4.61,4.39,0.0,0.0,72.42,100.0,8100,Weekday,Wednesday,Light_Load
201,4.64,4.75,0.0,0.0,69.88,100.0,9000,Weekday,Wednesday,Light_Load
202,4.64,4.75,0.0,0.0,69.88,100.0,9900,Weekday,Wednesday,Light_Load
203,4.57,4.75,0.0,0.0,69.33,100.0,10800,Weekday,Wednesday,Light_Load
204,4.64,5.11,0.0,0.0,67.22,100.0,11700,Weekday,Wednesday,Light_Load
205,4.64,4.72,0.0,0.0,70.1,100.0,12600,Weekday,Wednesday,Light_Load
206,4.68,4.68,0.0,0.0,70.71,100.0,13500,Weekday,Wednesday,Light_Load
207,4.57,4.46,0.0,0.0,71.57,100.0,14400,Weekday,Wednesday,Light_Load
208,4.54,4.32,0.0,0.0,72.44,100.0,15300,Weekday,Wednesday,Light_Load
209,4.61,4.46,0.0,0.0,71.87,100.0,16200,Weekday,Wednesday,Light_Load
210,4.57,4.32,0.0,0.0,72.67,100.0,17100,Weekday,Wednesday,Light_Load
211,4.61,4.32,0.0,0.0,72.97,100.0,18000,Weekday,Wednesday,Light_Load
212,4.54,4.14,0.0,0.0,73.89,100.0,18900,Weekday,Wednesday,Light_Load
213,4.57,4.21,0.0,0.0,73.55,100.0,19800,Weekday,Wednesday,Light_Load
214,4.57,4.43,0.0,0.0,71.8,100.0,20700,Weekday,Wednesday,Light_Load
215,4.57,4.5,0.0,0.0,71.25,100.0,21600,Weekday,Wednesday,Light_Load
216,4.64,4.61,0.0,0.0,70.94,100.0,22500,Weekday,Wednesday,Light_Load
217,4.57,4.36,0.0,0.0,72.35,100.0,23400,Weekday,Wednesday,Light_Load
218,4.61,4.54,0.0,0.0,71.25,100.0,24300,Weekday,Wednesday,Light_Load
219,4.54,4.28,0.0,0.0,72.76,100.0,25200,Weekday,Wednesday,Light_Load
220,4.46,4.18,0.0,0.0,72.96,100.0,26100,Weekday,Wednesday,Light_Load
221,6.12,4.25,0.0,0.0,82.14,100.0,27000,Weekday,Wednesday,Light_Load
222,7.92,4.68,0.0,0.0,86.09,100.0,27900,Weekday,Wednesday,Light_Load
223,9.58,4.36,0.0,0.0,91.02,100.0,28800,Weekday,Wednesday,Light_Load
224,37.01,21.56,0.0,0.02,86.41,100.0,29700,Weekday,Wednesday,Light_Load
225,74.59,35.86,0.0,0.03,90.13,100.0,30600,Weekday,Wednesday,Light_Load
226,109.48,53.32,0.0,0.05,89.9,100.0,31500,Weekday,Wednesday,Light_Load
227,105.08,31.82,0.0,0.05,95.71,100.0,32400,Weekday,Wednesday,Light_Load
228,121.79,41.26,0.0,0.06,94.71,100.0,33300,Weekday,Wednesday,Medium_Load
229,114.48,30.24,0.0,0.05,96.68,100.0,34200,Weekday,Wednesday,Medium_Load
230,74.2,21.96,0.0,0.03,95.89,100.0,35100,Weekday,Wednesday,Medium_Load
231,54.32,7.13,0.04,0.02,99.15,100.0,36000,Weekday,Wednesday,Medium_Load
232,75.17,25.06,0.0,0.03,94.87,100.0,36900,Weekday,Wednesday,Maximum_Load
233,58.07,12.24,0.0,0.03,97.85,100.0,37800,Weekday,Wednesday,Maximum_Load
234,67.03,15.08,0.0,0.03,97.56,100.0,38700,Weekday,Wednesday,Maximum_Load
235,74.59,31.64,0.04,0.03,92.06,100.0,39600,Weekday,Wednesday,Maximum_Load
236,57.56,23.9,0.0,0.03,92.36,100.0,40500,Weekday,Wednesday,Maximum_Load
237,78.62,48.06,0.0,0.04,85.32,100.0,41400,Weekday,Wednesday,Maximum_Load
238,69.16,44.17,0.0,0.03,84.28,100.0,42300,Weekday,Wednesday,Maximum_Load
239,74.05,44.78,0.0,0.03,85.57,100.0,43200,Weekday,Wednesday,Maximum_Load
240,11.27,0.5,20.45,0.01,99.9,48.27,44100,Weekday,Wednesday,Medium_Load
241,8.21,0.0,26.21,0.0,100.0,29.89,45000,Weekday,Wednesday,Medium_Load
242,8.14,0.0,25.56,0.0,100.0,30.34,45900,Weekday,Wednesday,Medium_Load
243,7.7,0.0,25.74,0.0,100.0,28.66,46800,Weekday,Wednesday,Medium_Load
244,51.26,21.38,6.08,0.02,92.29,99.3,47700,Weekday,Wednesday,Medium_Load
245,52.7,13.64,0.0,0.02,96.81,100.0,48600,Weekday,Wednesday,Medium_Load
246,55.84,17.24,0.0,0.03,95.55,100.0,49500,Weekday,Wednesday,Medium_Load
247,57.2,17.32,0.0,0.03,95.71,100.0,50400,Weekday,Wednesday,Medium_Load
248,76.57,30.6,0.0,0.04,92.86,100.0,51300,Weekday,Wednesday,Medium_Load
249,61.13,20.45,0.0,0.03,94.83,100.0,52200,Weekday,Wednesday,Medium_Load
250,66.74,26.42,0.0,0.03,92.98,100.0,53100,Weekday,Wednesday,Medium_Load
251,55.8,16.42,0.0,0.03,95.93,100.0,54000,Weekday,Wednesday,Medium_Load
252,57.46,18.25,0.0,0.03,95.31,100.0,54900,Weekday,Wednesday,Medium_Load
253,71.28,28.08,0.0,0.03,93.04,100.0,55800,Weekday,Wednesday,Medium_Load
254,73.15,28.62,0.0,0.03,93.13,100.0,56700,Weekday,Wednesday,Medium_Load
255,68.98,25.81,0.0,0.03,93.66,100.0,57600,Weekday,Wednesday,Medium_Load
256,85.0,27.79,0.0,0.04,95.05,100.0,58500,Weekday,Wednesday,Medium_Load
257,116.53,41.9,0.0,0.05,94.1,100.0,59400,Weekday,Wednesday,Medium_Load
258,118.62,39.06,0.0,0.05,94.98,100.0,60300,Weekday,Wednesday,Medium_Load
259,105.05,35.64,0.0,0.05,94.7,100.0,61200,Weekday,Wednesday,Medium_Load
260,140.51,52.96,0.0,0.06,93.57,100.0,62100,Weekday,Wednesday,Maximum_Load
261,114.01,41.15,0.0,0.05,94.06,100.0,63000,Weekday,Wednesday,Maximum_Load
262,125.96,39.2,0.0,0.06,95.48,100.0,63900,Weekday,Wednesday,Maximum_Load
263,73.62,13.25,1.69,0.03,98.42,99.97,64800,Weekday,Wednesday,Maximum_Load
264,36.22,12.74,0.54,0.02,94.33,99.99,65700,Weekday,Wednesday,Maximum_Load
265,39.82,18.43,0.0,0.02,90.75,100.0,66600,Weekday,Wednesday,Maximum_Load
266,37.08,4.18,1.94,0.02,99.37,99.86,67500,Weekday,Wednesday,Maximum_Load
267,42.98,5.47,0.18,0.02,99.2,100.0,68400,Weekday,Wednesday,Maximum_Load
268,37.94,0.86,1.58,0.02,99.97,99.91,69300,Weekday,Wednesday,Maximum_Load
269,39.71,3.74,0.79,0.02,99.56,99.98,70200,Weekday,Wednesday,Maximum_Load
270,43.2,5.69,0.18,0.02,99.14,100.0,71100,Weekday,Wednesday,Maximum_Load
271,37.33,1.19,1.66,0.02,99.95,99.9,72000,Weekday,Wednesday,Maximum_Load
272,41.0,5.62,0.54,0.02,99.07,99.99,72900,Weekday,Wednesday,Medium_Load
273,37.3,2.88,1.22,0.02,99.7,99.95,73800,Weekday,Wednesday,Medium_Load
274,32.72,2.02,6.98,0.02,99.81,97.8,74700,Weekday,Wednesday,Medium_Load
275,9.83,0.0,23.83,0.0,100.0,38.13,75600,Weekday,Wednesday,Medium_Load
276,7.96,0.0,24.8,0.0,100.0,30.56,76500,Weekday,Wednesday,Medium_Load
277,5.44,0.0,26.82,0.0,100.0,19.88,77400,Weekday,Wednesday,Medium_Load
278,5.11,0.0,26.78,0.0,100.0,18.74,78300,Weekday,Wednesday,Medium_Load
279,5.18,0.0,26.78,0.0,100.0,18.99,79200,Weekday,Wednesday,Medium_Load
280,4.97,1.91,15.16,0.0,93.34,31.15,80100,Weekday,Wednesday,Maximum_Load
281,4.75,5.26,0.0,0.0,67.02,100.0,81000,Weekday,Wednesday,Maximum_Load
282,4.64,5.15,0.0,0.0,66.94,100.0,81900,Weekday,Wednesday,Maximum_Load
283,4.64,4.97,0.0,0.0,68.24,100.0,82800,Weekday,Wednesday,Maximum_Load
284,4.72,4.39,0.0,0.0,73.22,100.0,83700,Weekday,Wednesday,Light_Load
285,4.61,4.25,0.0,0.0,73.52,100.0,84600,Weekday,Wednesday,Light_Load
286,4.57,4.43,0.0,0.0,71.8,100.0,85500,Weekday,Wednesday,Light_Load
287,4.57,4.5,0.0,0.0,71.25,100.0,0,Weekday,Wednesday,Light_Load
288,4.61,4.57,0.0,0.0,71.02,100.0,900,Weekday,Thursday,Light_Load
289,4.64,4.57,0.0,0.0,71.25,100.0,1800,Weekday,Thursday,Light_Load
290,4.64,4.68,0.0,0.0,70.41,100.0,2700,Weekday,Thursday,Light_Load
291,4.61,4.79,0.0,0.0,69.34,100.0,3600,Weekday,Thursday,Light_Load
292,4.61,4.64,0.0,0.0,70.48,100.0,4500,Weekday,Thursday,Light_Load
293,4.61,4.93,0.0,0.0,68.3,100.0,5400,Weekday,Thursday,Light_Load
294,4.68,4.64,0.0,0.0,71.01,100.0,6300,Weekday,Thursday,Light_Load
295,4.64,4.79,0.0,0.0,69.58,100.0,7200,Weekday,Thursday,Light_Load
296,4.61,4.75,0.0,0.0,69.65,100.0,8100,Weekday,Thursday,Light_Load
297,4.64,4.9,0.0,0.0,68.76,100.0,9000,Weekday,Thursday,Light_Load
298,4.61,4.9,0.0,0.0,68.52,100.0,9900,Weekday,Thursday,Light_Load
299,4.68,4.93,0.0,0.0,68.85,100.0,10800,Weekday,Thursday,Light_Load
